"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"33427-14521","PF","Kenneth","Kenneth Faried","Faried","22.428571428571427","28","5500","CHA@HOU","HOU","CHA","","","","",""
"33427-23798","SG","Caris","Caris LeVert","LeVert","27.415384145883415","26","5500","DET@BKN","BKN","DET","","","","",""
"33427-15691","C","Cody","Cody Zeller","Zeller","25.022448481345663","49","5400","CHA@HOU","CHA","HOU","O","Knee","","",""
"33427-9556","SG","Eric","Eric Gordon","Gordon","24.30188679245283","53","5400","CHA@HOU","HOU","CHA","","","","",""
"33427-70827","C","Ivica","Ivica Zubac","Zubac","18.78181873668324","44","5400","BOS@LAC","LAC","BOS","","","","",""
"33427-84667","PG","Collin","Collin Sexton","Sexton","22.74090946081913","66","5400","TOR@CLE","CLE","TOR","","","","",""
"33427-40201","SG","Dennis","Dennis Schroder","Schroder","26.868253193204364","63","5300","OKC@UTA","OKC","UTA","","","","",""
"33427-23831","PF","Jerami","Jerami Grant","Grant","26.567188262939453","64","5300","OKC@UTA","OKC","UTA","","","","",""
"33427-14523","PG","Reggie","Reggie Jackson","Jackson","25.776923076923076","65","5300","DET@BKN","DET","BKN","","","","",""
"33427-9451","PF","Marvin","Marvin Williams","Williams","23.592307692307692","65","5300","CHA@HOU","CHA","HOU","O","Illness","","",""
"33427-20640","SG","Jordan","Jordan Clarkson","Clarkson","25.660000375600962","65","5200","TOR@CLE","CLE","TOR","","","","",""
"33427-14512","PF","Marcus","Marcus Morris","Morris","24.83709716796875","62","5100","BOS@LAC","BOS","LAC","","","","",""
"33427-66046","SG","Luke","Luke Kennard","Kennard","16.81489335729721","47","5100","DET@BKN","DET","BKN","","","","",""
"33427-84680","PG","Shai","Shai Gilgeous-Alexander","Gilgeous-Alexander","20.986764346852024","68","5000","BOS@LAC","LAC","BOS","","","","",""
"33427-84700","PF","Rodions","Rodions Kurucs","Kurucs","16.45","50","5000","DET@BKN","BKN","DET","","","","",""
