2017-10-22 00:00:00,atl,32,94,7,27,33,36,16,32,21,6,2,16,25,104,brk,41,87,11,27,23,34,13,38,27,12,8,18,27,116
2017-10-22 00:00:00,nop,47,83,10,32,15,21,6,36,26,14,5,18,20,119,lal,44,90,9,27,15,20,9,29,27,7,6,17,24,112
2017-10-22 00:00:00,min,43,86,10,25,19,23,10,35,25,5,1,17,17,115,okc,46,96,11,31,10,16,9,27,26,9,6,11,22,113
2017-10-23 00:00:00,gsw,48,86,15,39,22,26,10,40,33,6,8,16,23,133,dal,38,96,9,29,18,30,14,28,21,11,0,12,20,103
2017-10-23 00:00:00,was,37,84,9,30,26,28,10,28,24,13,3,15,24,109,den,39,80,8,23,18,23,9,35,27,5,2,23,22,104
2017-10-23 00:00:00,phi,35,75,9,24,18,24,8,41,25,11,0,21,24,97,det,33,85,6,30,14,19,9,30,14,5,2,14,21,86
2017-10-23 00:00:00,mem,29,68,6,19,34,37,3,35,16,5,2,12,21,98,hou,32,77,9,38,17,23,9,30,25,5,2,16,31,90
2017-10-23 00:00:00,atl,36,76,7,17,14,18,6,35,14,9,1,20,17,93,mia,39,85,14,37,12,18,10,31,21,12,6,19,19,104
2017-10-23 00:00:00,cho,33,78,7,26,21,36,10,38,17,3,5,14,21,94,mil,40,85,9,26,14,16,5,37,24,8,4,13,27,103
2017-10-23 00:00:00,sac,43,99,9,22,20,29,13,24,19,13,2,9,25,115,pho,42,77,10,30,23,27,6,39,20,6,5,20,25,117
2017-10-23 00:00:00,tor,34,80,10,37,19,24,5,29,17,11,4,14,30,97,sas,40,90,5,20,16,23,18,37,19,4,12,20,22,101
2017-10-24 00:00:00,nyk,36,85,1,12,16,25,11,32,20,8,2,14,17,89,bos,37,75,14,29,22,27,5,36,26,11,7,12,24,110
2017-10-24 00:00:00,chi,42,88,17,33,11,13,8,31,28,3,3,9,20,112,cle,43,83,16,38,17,22,8,31,28,5,3,9,14,119
2017-10-24 00:00:00,uta,34,79,7,28,9,11,8,33,20,7,7,18,23,84,lac,39,83,10,29,14,21,11,33,21,12,4,13,16,102
2017-10-24 00:00:00,ind,56,84,10,22,8,11,8,34,31,8,2,17,21,130,min,42,86,9,24,14,22,9,18,27,9,4,14,14,107
2017-10-24 00:00:00,brk,40,96,11,35,30,34,14,35,21,8,4,15,27,121,orl,41,83,8,23,35,40,6,38,20,8,5,11,23,125
2017-10-24 00:00:00,nop,30,76,9,30,24,32,4,38,17,5,7,17,26,93,por,33,88,10,29,27,33,18,45,17,7,7,18,22,103
2017-10-25 00:00:00,cle,39,81,12,35,17,26,9,38,21,5,7,21,17,107,brk,40,93,17,46,15,21,10,28,22,11,3,12,22,112
2017-10-25 00:00:00,den,38,100,8,31,9,15,18,33,18,6,1,13,23,93,cho,38,81,13,31,21,26,10,40,17,5,5,14,16,110
2017-10-25 00:00:00,mem,33,72,12,31,16,24,6,30,14,7,2,17,22,94,dal,36,74,11,26,20,29,4,31,20,6,4,11,20,103
2017-10-25 00:00:00,min,37,85,9,25,18,21,7,30,19,5,4,14,19,101,det,48,92,15,34,11,17,12,35,32,7,3,14,22,122
2017-10-25 00:00:00,tor,43,94,8,34,18,19,17,25,30,10,6,16,16,112,gsw,43,77,12,26,19,22,6,31,32,10,7,17,15,117
2017-10-25 00:00:00,was,39,95,6,26,15,23,7,38,20,11,5,13,19,99,lal,41,92,7,30,13,16,6,47,27,9,5,21,26,102
2017-10-25 00:00:00,sas,42,76,10,17,23,30,8,36,18,6,3,13,20,117,mia,37,80,9,26,17,18,4,28,19,6,2,9,25,100
2017-10-25 00:00:00,ind,28,83,10,29,30,35,14,27,13,13,2,19,23,96,okc,43,89,10,27,18,26,16,33,26,8,8,21,27,114
