2015-11-01 00:00:00,orl,35,90,7,23,10,17,12,31,21,7,11,19,87,chi,33,87,7,28,19,22,11,36,23,7,8,16,92
2015-11-01 00:00:00,atl,37,88,7,29,13,14,9,39,22,9,6,16,94,cho,32,86,14,37,14,15,9,36,27,7,13,14,92
2015-11-01 00:00:00,dal,40,87,11,30,12,16,8,41,28,5,4,22,103,lal,31,85,10,34,21,28,8,34,18,8,9,20,93
2015-11-01 00:00:00,hou,32,79,10,36,15,18,3,31,20,9,3,23,89,mia,42,86,9,22,16,21,11,37,24,11,5,16,109
2015-11-01 00:00:00,den,35,92,9,26,14,19,14,21,20,8,3,17,93,okc,45,86,13,25,14,18,13,37,32,9,10,23,117
2015-11-01 00:00:00,mil,29,69,5,19,24,24,7,26,21,6,8,21,87,tor,41,90,11,25,13,20,18,28,22,12,3,19,106
2015-11-02 00:00:00,mil,38,73,9,23,18,26,8,28,24,6,7,23,103,brk,36,79,6,19,18,22,10,25,21,3,4,23,96
2015-11-02 00:00:00,mem,26,96,3,23,14,20,11,33,21,8,7,24,69,gsw,43,84,11,25,22,30,10,55,32,8,13,15,119
2015-11-02 00:00:00,okc,40,84,10,23,15,22,14,41,17,7,9,24,105,hou,41,89,9,29,19,29,7,27,22,18,7,22,110
2015-11-02 00:00:00,pho,36,98,9,30,15,21,16,39,23,8,1,20,96,lac,37,81,8,26,20,23,3,43,20,4,5,18,102
2015-11-02 00:00:00,por,41,89,9,30,15,20,11,35,18,5,6,27,106,min,34,79,3,13,30,39,8,33,22,10,4,22,101
2015-11-02 00:00:00,sas,39,79,4,13,12,17,8,37,21,6,7,12,94,nyk,32,89,4,13,16,21,17,32,17,8,3,18,84
2015-11-02 00:00:00,cle,42,81,8,22,15,20,7,36,28,5,9,19,107,phi,38,85,7,24,17,23,9,28,22,7,5,18,100
2015-11-03 00:00:00,chi,44,90,14,30,3,8,4,29,26,5,0,19,105,cho,47,91,14,23,22,23,12,40,26,6,4,11,130
2015-11-03 00:00:00,tor,37,82,5,17,23,26,10,37,18,8,6,26,102,dal,33,86,7,23,18,25,14,30,20,5,3,25,91
2015-11-03 00:00:00,ind,38,88,7,23,11,12,12,30,21,15,5,19,94,det,33,86,5,22,11,17,19,31,14,8,5,21,82
2015-11-03 00:00:00,den,43,85,7,20,27,31,11,38,30,5,7,23,120,lal,36,86,6,26,31,38,11,29,18,9,4,28,109
2015-11-03 00:00:00,atl,37,90,7,21,17,22,16,35,25,10,1,14,98,mia,38,86,5,28,11,16,13,36,13,10,9,21,92
2015-11-03 00:00:00,orl,42,90,7,18,12,12,10,45,24,5,3,18,103,nop,32,90,12,36,18,25,10,36,23,12,9,14,94
2015-11-03 00:00:00,mem,40,83,3,20,20,25,12,38,23,5,7,31,103,sac,29,74,7,20,24,40,8,27,17,8,1,21,89
2015-11-04 00:00:00,brk,36,83,5,21,10,13,14,29,24,9,4,19,87,atl,37,76,8,22,19,24,6,28,27,15,10,17,101
2015-11-04 00:00:00,nyk,33,84,8,24,12,15,9,31,16,6,7,23,86,cle,33,83,7,27,23,32,9,39,21,5,2,12,96
2015-11-04 00:00:00,lac,43,88,8,22,14,22,10,31,24,6,4,26,108,gsw,39,85,10,26,24,31,9,33,28,6,5,22,112
2015-11-04 00:00:00,orl,46,91,7,20,15,19,9,29,28,12,6,25,114,hou,42,88,11,34,24,34,16,32,28,8,1,20,119
